          nation           | o_year |     sum_profit     
 JORDAN                    |   1994 |       44996139.175
 JORDAN                    |   1993 |  45088493.40039998
 JORDAN                    |   1992 | 44084061.210300006
 KENYA                     |   1998 | 25624450.986399997
 KENYA                     |   1997 | 47139175.859099984
 KENYA                     |   1996 |  44562819.59610002
 KENYA                     |   1995 |  45173419.66880001
 KENYA                     |   1994 |      43572960.6803
 KENYA                     |   1993 |  46675388.25499999
 KENYA                     |   1992 |  45893748.20860001
 MOROCCO                   |   1998 |  25504853.77189999
 MOROCCO                   |   1997 |  44806656.66419999
 MOROCCO                   |   1996 |  46222276.85880001
 MOROCCO                   |   1995 |  44738597.90169999
 MOROCCO                   |   1994 |       45863324.408
 MOROCCO                   |   1993 |  42337386.17579998
 MOROCCO                   |   1992 |      44788588.3119
 MOZAMBIQUE                |   1998 | 26539279.087499984
 MOZAMBIQUE                |   1997 |  47248086.01910001
 MOZAMBIQUE                |   1996 |  47875051.74409999
 MOZAMBIQUE                |   1995 |  45488984.46149999
 MOZAMBIQUE                |   1994 |  44810644.57410002
 MOZAMBIQUE                |   1993 | 46514218.784400016
 MOZAMBIQUE                |   1992 | 46620652.785299994
 PERU                      |   1998 | 29952286.946100004
 PERU                      |   1997 |  50936264.41310001
 PERU                      |   1996 | 51997537.698000014
 PERU                      |   1995 |  51541094.86269999
 PERU                      |   1994 |  53396230.93589999
 PERU                      |   1993 |  47680851.52110004
 PERU                      |   1992 |  51842282.10600003
 ROMANIA                   |   1998 | 27356911.525499977
 ROMANIA                   |   1997 |      48655819.1292
 ROMANIA                   |   1996 | 47458758.485900015
 ROMANIA                   |   1995 | 46685229.474700026
 ROMANIA                   |   1994 | 46861756.064899966
 ROMANIA                   |   1993 |  45208314.33349998
 ROMANIA                   |   1992 |  45178783.26000002
 RUSSIA                    |   1998 | 27116085.760800004
 RUSSIA                    |   1997 | 48202153.384100035
 RUSSIA                    |   1996 | 46560340.118300006
 RUSSIA                    |   1995 |      51466291.3365
 RUSSIA                    |   1994 |  45561556.67710001
 RUSSIA                    |   1993 |  48995446.11310001
 RUSSIA                    |   1992 | 48249514.362900004
 SAUDI ARABIA              |   1998 | 29727604.415200002
 SAUDI ARABIA              |   1997 | 47216650.957700044
 SAUDI ARABIA              |   1996 |  49849993.93760003
 SAUDI ARABIA              |   1995 |  47207383.65680001
 SAUDI ARABIA              |   1994 |  48923501.59909998
 SAUDI ARABIA              |   1993 |  48856338.37870001
 SAUDI ARABIA              |   1992 |  46406351.95280001
 UNITED KINGDOM            |   1998 | 24885716.612099994
 UNITED KINGDOM            |   1997 | 47958748.430700004
 UNITED KINGDOM            |   1996 |  46352108.80829999
 UNITED KINGDOM            |   1995 | 49021352.019099995
 UNITED KINGDOM            |   1994 |  45758835.13210001
 UNITED KINGDOM            |   1993 |       44842043.235
 UNITED KINGDOM            |   1992 | 44702738.136099994
 UNITED STATES             |   1998 |      26299660.6243
 UNITED STATES             |   1997 | 47959908.421200015
 UNITED STATES             |   1996 |  49044450.25229999
 UNITED STATES             |   1995 |  45731725.54169998
 UNITED STATES             |   1994 |  46367669.34810001
 UNITED STATES             |   1993 |  47000699.69190003
 UNITED STATES             |   1992 |  46786562.26210002
 VIETNAM                   |   1998 |  28934179.26519999
 VIETNAM                   |   1997 |      48446586.2454
 VIETNAM                   |   1996 |      47866576.6692
 VIETNAM                   |   1995 |      46737007.5282
 VIETNAM                   |   1994 |  46913664.91019999
 VIETNAM                   |   1993 |  49333401.53659999
 VIETNAM                   |   1992 |  46538915.13540006
(175 rows)

