 ps_partkey |       value        
      85512 |         9329065.91
      44374 |  9326826.959999999
     176155 |          9320866.1
     115967 |          9318790.4
      70905 |          9313144.8
     109485 |  9307387.469999999
     126977 |         9301029.21
     150282 |  9295061.440000001
     105203 |         9294180.84
     155909 |         9292471.65
     152421 |  9288075.790000001
      59558 |          9285903.2
      40701 |         9283689.61
      38921 |         9281982.08
     125632 |         9279434.92
     127645 |  9274312.040000001
      38932 |         9267142.56
      37085 |         9267111.32
      46786 |  9261292.959999999
     122641 |         9261019.35
      57015 |         9258705.82
      85671 |  9255760.299999999
      62239 |         9254839.26
      97423 |         9253222.11
      70726 |         9252549.28
      92325 |          9240449.4
      24936 |         9228603.51
      17749 |            9221119
      60372 |          9218885.2
      97267 |  9215256.049999999
      13447 |         9213389.68
      27739 |         9212495.95
     165809 |         9207967.99
      99791 |            9204811
     107844 |         9198703.92
      51142 |         9194726.38
     163443 |  9191069.049999999
      28868 |  9190157.969999999
     163536 |         9184771.44
     157100 |         9183769.06
     111856 |         9175948.12
      98465 |         9173943.52
      38802 |         9167493.08
     117360 |  9162505.469999999
     132926 |         9157680.61
        121 |  9153132.280000001
      44771 |         9152239.05
      25600 |          9147384.9
      56476 |  9144509.440000001
     150482 |         9143660.16
     124414 |         9142516.87
      16517 |         9137986.11
     119026 |  9135990.360000001
     192925 |         9131081.56
     157096 |         9130146.84
     121062 |            9128845
     169465 |         9125805.04
      30246 |         9124232.25
      64809 |         9121339.08
      20862 |         9119197.44
      86645 |         9114909.75
     133459 |         9113994.72
     101953 |         9111832.17
     158507 |         9108837.48
      90471 |         9108285.75
     144474 |            9107080
      98865 |         9105811.68
      94101 |  9102877.049999999
      65352 |         9102396.36
     164414 |         9098291.46
      66764 |          9096024.8
     144950 |          9094059.3
      22245 |         9092318.51
      76810 |          9088188.6
     116507 |          9087132.6
     188140 |         9086367.57
     157751 |         9085673.25
     196954 |          9085659.5
     194454 |         9083679.64
      79852 |         9075296.27
      62260 |            9070858
     173339 |         9070803.84
      51854 |         9067658.73
     100885 |         9066859.76
      83004 |         9058789.71
      58187 |         9057144.32
     130350 |         9056561.34
      63600 |         9048099.76
      63092 |         9047836.17
     189419 |          9047587.2
      38466 |         9046876.95
     141985 |          9046767.6
     181739 |         9044782.92
     169317 |         9044378.35
      30680 |         9044244.48
     114998 |          9041965.1
     139881 |         9032346.16
      87447 |         9028816.62
      60602 |         9027994.06
      93829 |          9027979.1
      90980 |  9026715.870000001
      65992 |         9021261.48
      83337 |  9020379.309999999
      19014 |         9007878.15
     199546 |         9005781.69
      34686 |          9004507.7
     189876 |          9004235.5
     133481 |  9004044.190000001
      47316 |         8996421.25
     108127 |         8992157.76
     178209 |  8972440.379999999
     176818 |          8970941.4
     174943 |          8969197.6
     178171 |         8967291.15
     199376 |          8965198.6
        351 |  8963035.799999999
      26366 |         8960448.72
      17143 |            8952416
      94134 |          8945196.3
      48158 |          8940729.6
      91783 |         8937620.54
     141369 |         8936021.25
     117528 |         8935251.72
      99620 |         8932833.84
      68507 |         8930662.39
     129775 |         8927746.41
      13223 |         8926942.99
      69585 |         8924342.85
      19181 |         8923064.76
      73205 |         8916325.68
     162641 |  8913007.479999999
     168205 |         8908983.76
     175255 |         8906267.66
       9020 |            8905832
      62746 |         8903409.24
      43218 |  8902623.280000001
      35686 |         8901664.24
     145107 |          8898460.2
     168163 |         8895980.61
     108075 |         8895569.35
      34582 |         8890819.96
      68695 |         8890372.08
      79491 |  8885597.120000001
      55203 |         8884105.23
     151577 |         8882105.68
     106353 |          8881927.3
     140292 |         8881769.46
      21359 |         8879384.49
      99364 |         8875288.26
     163157 |         8874704.56
      50861 |         8873998.29
      77783 |  8869038.639999999
     167496 |  8863171.950000001
     116008 |         8856606.88
     194505 |         8856592.92
      33286 |  8855429.459999999
      52008 |  8846114.549999999
      34363 |          8845992.6
      74314 |         8842102.43
     142657 |         8840871.38
      17063 |          8840649.6
     139339 |  8840559.089999998
     191470 |         8835962.72
      94936 |         8835918.64
      43979 |  8834266.799999999
       1221 |         8833018.68
        163 |  8832640.209999999
     125051 |         8830800.28
     133472 |         8826768.16
     113541 |         8825081.28
     151354 |         8823278.75
     173938 |          8820905.1
     102472 |         8814950.33
      55263 |  8813287.200000001
      66737 |          8807693.3
     181555 |         8804526.34
     108576 |          8804510.6
     184766 |         8803941.49
     166658 |         8803819.89
      10789 |  8803191.540000001
     113641 |         8798008.96
      54987 |         8796299.22
      10990 |         8793069.12
      34707 |         8791997.95
     137650 |         8788023.72
      37572 |         8781802.56
     190006 |         8780110.56
     109555 |  8779752.870000001
      97035 |         8778718.02
     188999 |  8777195.200000001
     117583 |          8776391.6
      26607 |         8774194.74
      35375 |          8771779.2
      69609 |          8771349.2
      41811 |  8770480.559999999
       9502 |         8770065.61
     150102 |         8768157.51
     174921 |         8767907.41
     176353 |         8767573.58
      25702 |  8764954.799999999
     187952 |         8764264.64
      58507 |          8756775.9
     157331 |         8752764.65
     190222 |         8749990.17
     156171 |         8749539.95
     173950 |            8747899
      13573 |         8747491.58
     102322 |            8746103
     172736 |         8742098.86
      92552 |            8737065
     191022 |         8734331.74
      35870 |          8733241.2
      77074 |         8731015.11
     175160 |  8727840.799999999
     129355 |         8725361.43
     131208 |         8720437.57
      46748 |  8718701.969999999
      46170 |         8717906.63
      82227 |          8717207.4
     116878 |         8714698.43
      97645 |         8714278.72
     171752 |         8712351.84
     130905 |  8712298.799999999
      58728 |         8711883.18
      22488 |         8709553.58
       1084 |         8709494.16
     139849 |          8704516.5
      73661 |         8704398.26
       3242 |         8702510.94
     163346 |         8700013.98
     183197 |  8700010.219999999
     119963 |          8693303.3
      44587 |         8690113.92
     114996 |            8686162
      21048 |         8684841.75
     130115 |         8684256.34
     159955 |         8681936.82
     141470 |  8680443.709999999
     108178 |         8676952.68
     137552 |         8675118.36
     172226 |  8669135.700000001
     184400 |  8668385.040000001
     131852 |         8664336.96
      12098 |         8663656.56
     109359 |  8663397.120000001
      36261 |          8663185.2
     130336 |         8662395.93
      38246 |         8661439.86
      42195 |          8661360.4
     114877 |  8659065.459999999
     110112 |          8657445.3
     108832 |  8657292.879999999
      71092 |         8656931.36
      70745 |         8656626.16
      68545 |  8655840.959999999
       5527 |         8654522.54
      82317 |         8653658.87
      51628 |  8652993.200000001
     172540 |         8648201.26
      37066 |         8645867.05
     163526 |  8630226.100000001
     149595 |          8628852.6
      31038 |         8626755.76
       8092 |         8626679.04
     178106 |            8626563
     179090 |         8623134.28
      81187 |            8621424
      59487 |  8619939.690000001
     153652 |         8618998.02
      68120 |          8618816.8
     112863 |  8617012.620000001
     128477 |         8616809.06
     179567 |         8616420.41
     174542 |         8613508.44
     104889 |  8610224.719999999
     126566 |  8608680.209999999
     150206 |         8608595.57
     106081 |         8607491.64
     133252 |         8606773.88
     186955 |         8604886.85
      49933 |          8598107.7
     132410 |          8598078.5
       5951 |  8594776.799999999
      86166 |         8592917.87
      24689 |         8588457.28
      19636 |         8581442.25
      55770 |  8580998.200000001
     114505 |         8580101.64
     142239 |         8579476.84
      76992 |         8576205.33
     177712 |  8574895.360000001
        950 |          8573963.2
       8240 |         8569367.82
     136966 |  8566564.440000001
     145484 |         8563629.92
     156748 |         8563183.35
       2436 |  8562699.379999999
      44480 |            8561061
     151476 |          8557856.1
      57185 |          8557421.6
      43779 |          8555005.8
     172870 |         8549754.84
      72355 |         8548351.89
     160706 |  8546556.780000001
     184497 |  8545005.440000001
     138944 |         8544680.32
     154581 |         8543912.72
     154516 |         8543906.25
      52792 |            8542720
      40239 |         8538803.38
      28788 |          8538356.6
     133751 |         8532887.52
      56899 |         8532763.09
      38451 |  8532749.280000001
     175203 |         8532078.54
      42472 |         8527698.82
     185111 |         8524482.82
     155536 |  8519272.200000001
     155334 |         8515888.22
       1502 |         8514630.32
     162966 |         8508299.85
      49398 |         8508267.81
     123190 |         8507276.04
      79398 |  8504327.700000001
      91946 |          8502067.4
      50168 |         8496769.32
      87850 |         8496095.82
      71140 |         8494992.88
      30268 |         8494412.76
      12986 |         8493652.44
     169918 |            8489424
     104800 |         8488559.11
       2657 |         8485618.95
     194231 |          8484121.1
     117805 |         8482152.98
      53197 |         8481510.02
      62932 |          8479426.1
      90127 |          8478220.1
      40748 |         8476974.91
     105189 |         8476210.44
      45512 |         8476043.16
     102052 |          8475333.9
     163226 |          8475149.8
     131862 |            8475025
     164888 |         8474389.56
      46346 |  8473619.200000001
      22743 |         8471810.72
     147044 |          8471534.4
     102814 |         8467159.15
     175427 |         8465366.11
      52133 |         8463472.83
     121910 |         8462975.39
      24000 |         8462646.83
     143763 |          8460736.4
      19546 |         8460381.64
      44381 |         8455270.52
      43961 |          8453778.3
     128731 |         8452651.68
     160879 |  8452067.959999999
      86255 |          8449541.4
     144941 |         8448834.65
      98120 |  8447393.280000001
      75244 |          8443672.2
     116339 |         8440884.54
     182423 |  8440391.370000001
     129890 |         8438462.04
     113188 |          8437289.7
     128120 |          8436925.6
      18637 |         8436071.48
     165628 |         8432589.75
      95121 |         8431736.39
     101487 |          8431581.8
      23914 |          8430621.1
      83999 |         8428798.95
      99993 |         8427275.88
      87811 |          8427249.4
     113106 |         8427223.68
     150759 |  8425859.780000001
      43958 |         8425830.82
     171766 |         8423061.84
     185144 |  8418106.879999999
     107427 |  8417508.450000001
     109583 |          8416558.5
       5044 |         8414477.25
     164271 |         8414046.05
      43778 |         8412450.18
     128186 |         8410520.68
     117093 |         8407998.72
     154866 |         8404954.47
      51754 |  8400840.040000001
      20027 |         8400355.24
     135670 |         8400075.61
      23805 |            8398117
     115425 |         8397965.48
      55553 |         8395623.25
      77792 |         8392725.31
     122743 |  8392399.200000001
      33319 |  8390763.280000001
     116451 |          8390506.4
     180659 |  8390462.809999999
     172746 |  8388767.459999999
     114443 |  8385597.859999999
     150330 |         8385253.06
     125339 |          8384680.3
      48465 |  8384113.000000001
      41148 |         8382419.08
     199901 |  8378670.720000001
     172827 |  8378065.149999999
      58465 |  8376072.100000001
     135646 |  8373548.300000001
      94351 |          8371621.2
       7366 |         8369093.96
       5736 |  8368616.399999999
     184825 |         8368104.26
      52781 |  8367115.590000001
      27335 |            8366854
     158496 |            8364724
     127944 | 8363437.0200000005
      76506 |         8361121.24
      69924 |  8358558.300000001
      39918 |  8358401.619999999
      99606 |  8358192.369999999
     111016 |         8357931.54
      38100 |         8356461.12
      70975 |         8354540.04
     132994 |          8351456.6
     137213 |  8351213.430000001
      84137 |  8348852.930000001
       3007 |         8348110.68
     198673 |         8346987.75
     198198 |         8345134.15
      28240 |         8344457.34
     164945 |  8342058.199999999
      97171 |         8342002.04
      43793 |  8340019.600000001
     137755 |          8339825.5
     130177 |  8337976.100000001
       6314 |         8336300.88
      37082 |  8334277.800000001
     130295 |         8330611.98
      56997 |         8330239.12
      39489 |         8328977.88
      50276 |            8328447
      49186 |         8326767.12
      38213 |         8326336.83
      96345 |         8321723.13
     127951 |          8317163.4
      78509 |  8316038.409999999
      70062 |  8310962.399999999
     132589 |  8308274.829999999
       2380 |         8308078.89
      42867 |         8307764.28
     151281 | 8307647.1899999995
       3586 |          8305917.3
     167534 |         8304817.92
     197076 |         8304803.28
     143947 |          8301931.5
     120608 |         8296868.16
      69328 |         8287595.68
      98373 |         8282737.42
     119204 |         8280205.29
     197472 |         8279823.93
     137442 |          8278654.8
      46969 |  8276112.079999999
      28126 |          8271700.5
     116904 |         8269524.48
     140143 |         8267238.72
     157260 |         8263623.54
      43151 |  8263485.600000001
     177956 | 8260254.7299999995
     168345 | 8257778.0600000005
     114558 |  8256873.760000001
     183326 |         8254896.84
      13358 |  8253829.800000001
     138080 |  8253729.399999999
      20774 |         8251738.39
      16044 |         8248593.15
     132760 |          8247362.2
      73284 |            8247231
     174139 |         8246925.84
      65614 | 8246097.2700000005
     141265 |         8242007.61
     196048 |  8235404.100000001
      92781 |  8228192.470000001
      74562 | 8227987.0200000005
     179471 |            8226646
     189852 |         8223655.13
     155845 |          8222133.4
      13508 |         8221070.29
      45947 |          8220955.1
      73287 |         8220932.78
      91489 |          8220039.6
     108067 |         8218987.92
      53222 |         8216010.45
     109543 |         8215931.68
     126042 |         8207262.18
      98780 |          8204751.1
     121302 |         8203461.42
     177951 |         8202508.16
     128817 |         8198330.92
      88451 |         8196844.88
     100685 |         8195764.95
     118360 |         8194789.44
      10989 |          8194216.8
     172018 |          8190889.3
      58683 |         8187648.55
      91729 |         8187562.32
      38495 |         8187424.91
      27129 |         8186054.26
     142806 |  8185605.390000001
      26267 |         8185297.59
     162350 |         8184995.04
      41607 |          8184644.5
     147710 |         8184386.32
      29935 |         8184027.57
     116790 |          8183558.7
     185984 |          8183467.1
       4492 |         8181198.74
      68399 |  8180659.279999999
     165233 |          8180073.8
     147875 |         8179318.88
       1601 |  8175480.779999999
     184257 |         8170603.51
     180992 |         8170593.86
     156432 |         8167860.25
      95624 |         8165846.72
      94848 |         8164874.24
     176708 |          8164208.8
     135722 |         8163669.68
      53612 |  8162862.460000001
     115297 |  8161907.130000001
       6954 |         8160592.64
     120236 |          8160139.2
      74544 |            8159827
      69261 |          8159259.8
      28524 |         8159115.72
      53059 |         8158470.62
      66311 |         8157369.23
      33614 |         8156992.41
     170991 |         8155414.68
      52858 |         8155148.54
     112355 |         8152470.25
     114555 |         8151420.42
     111332 |         8150195.06
     136989 |         8149512.42
       9615 |         8148748.44
       2841 |  8148678.449999999
      60645 |  8145193.970000001
     119559 |         8144694.48
     123455 |          8144153.8
     151772 |  8143540.569999999
      88898 |         8143321.24
      18468 |         8142256.67
     138500 |         8142254.44
      21039 |         8140354.55
      58356 |  8137998.859999999
      88563 |  8136725.800000001
     131016 |         8136269.09
     148061 |          8136265.5
      29420 |         8133693.47
      69512 |          8131873.5
      54296 |         8128929.38
     174562 |         8128773.38
      66439 |         8123537.68
     166398 |          8122397.8
     119317 |         8121790.82
      33758 |  8120714.869999999
      24424 |  8120493.899999999
     175425 | 8119500.5200000005
      95396 | 8119213.5200000005
     103470 |          8118232.5
        890 |         8113468.32
     126961 |         8110601.02
     128572 |         8110452.86
     186432 | 8106190.0200000005
      64875 | 8105736.0600000005
      97201 |          8098537.2
     162145 |  8097831.680000001
     168615 |         8097098.54
     178339 |  8096742.399999999
      73200 |         8096490.27
      65111 |  8095744.739999999
     179571 |         8095629.15
     123427 |         8094070.66
     128408 |         8092179.62
     134204 |          8091642.5
      77564 |  8091041.399999999
     118168 |  8090863.399999999
      96792 |         8087916.72
     148169 |         8087709.45
      23984 |         8087682.72
     135536 |         8087068.64
     189234 |  8086318.899999999
      66477 |         8082992.32
     187971 |         8082008.59
     193068 |         8079733.34
     147332 |            8079687
     123292 |  8078770.289999999
     166579 |         8077021.99
       9520 |         8076868.65
     191049 |  8076442.649999999
      12007 |  8075627.359999999
      83039 |  8075209.220000001
     141724 |  8075029.699999999
     112343 |         8074824.76
      70482 |  8074455.840000001
     194838 |          8073782.6
      21637 |         8073777.17
     125608 |         8073591.25
     110880 | 8071271.7299999995
     162359 |         8071187.03
     199569 |         8071159.59
      45821 |          8070809.6
     158334 |         8070474.62
      88168 |         8068721.33
     161715 |         8067644.52
     162708 |         8067504.48
      23292 |  8067384.399999999
     167079 |         8066441.14
     158644 |         8065684.36
     124529 |         8063689.92
     181411 | 8058171.9399999995
      64372 |         8054226.96
      13344 |         8052048.84
     132781 |         8051071.04
       8579 | 8051028.4799999995
     197077 |         8050418.51
     182626 |  8049021.630000001
     116980 |         8047563.79
     175905 |         8047350.36
     102563 |          8045666.8
     127563 |         8044471.26
      99479 |            8043791
      89328 |  8039073.390000001
     195247 |         8038640.75
       5651 |          8037388.6
      54096 |         8034955.47
     110792 |         8034408.48
      90126 |  8029168.399999999
        736 |         8028585.84
      83445 |         8023678.84
      89637 |  8022669.100000001
     138957 | 8021577.9799999995
     122001 |         8020446.72
     107492 |         8019781.38
     171262 | 8015588.0200000005
     194379 |          8014874.4
      72708 |          8014837.5
      55636 |         8006165.44
(907 rows)

