  p_brand   |          p_type           | p_size | supplier_cnt 
 Brand#12   | ECONOMY BRUSHED BRASS     |      2 |           16
 Brand#12   | ECONOMY BURNISHED COPPER  |     17 |           16
 Brand#12   | LARGE ANODIZED BRASS      |     14 |           16
 Brand#12   | LARGE ANODIZED COPPER     |      6 |           16
 Brand#12   | LARGE BRUSHED NICKEL      |      6 |           16
 Brand#12   | LARGE PLATED COPPER       |     49 |           16
 Brand#12   | LARGE POLISHED COPPER     |     49 |           16
 Brand#12   | MEDIUM ANODIZED COPPER    |     13 |           16
 Brand#12   | MEDIUM BURNISHED BRASS    |      2 |           16
 Brand#12   | MEDIUM POLISHED BRASS     |     14 |           16
 Brand#12   | PROMO ANODIZED STEEL      |     49 |           16
 Brand#12   | PROMO BURNISHED NICKEL    |     12 |           16
 Brand#12   | SMALL ANODIZED TIN        |      2 |           16
 Brand#12   | SMALL BRUSHED COPPER      |     13 |           16
 Brand#12   | SMALL BURNISHED STEEL     |      6 |           16
 Brand#12   | SMALL PLATED BRASS        |     21 |           16
 Brand#12   | SMALL POLISHED STEEL      |     17 |           16
 Brand#12   | STANDARD ANODIZED BRASS   |      6 |           16
 Brand#12   | STANDARD ANODIZED NICKEL  |     14 |           16
 Brand#12   | STANDARD BRUSHED COPPER   |      2 |           16
 Brand#12   | STANDARD PLATED BRASS     |     12 |           16
 Brand#13   | ECONOMY BURNISHED TIN     |     21 |           16
 Brand#13   | LARGE ANODIZED BRASS      |      2 |           16
 Brand#13   | LARGE ANODIZED TIN        |     17 |           16
 Brand#13   | LARGE BRUSHED NICKEL      |     21 |           16
 Brand#13   | MEDIUM ANODIZED NICKEL    |     21 |           16
 Brand#13   | MEDIUM ANODIZED TIN       |      6 |           16
 Brand#13   | MEDIUM BRUSHED BRASS      |     12 |           16
 Brand#13   | MEDIUM BRUSHED STEEL      |     49 |           16
 Brand#13   | MEDIUM BURNISHED COPPER   |      2 |           16
 Brand#13   | MEDIUM BURNISHED NICKEL   |     49 |           16
 Brand#13   | MEDIUM PLATED BRASS       |     49 |           16
 Brand#13   | MEDIUM PLATED NICKEL      |      6 |           16
 Brand#13   | PROMO ANODIZED BRASS      |     14 |           16
 Brand#13   | PROMO PLATED COPPER       |     21 |           16
 Brand#13   | PROMO PLATED NICKEL       |     13 |           16
 Brand#13   | PROMO POLISHED STEEL      |      6 |           16
 Brand#13   | PROMO POLISHED TIN        |     12 |           16
 Brand#13   | SMALL ANODIZED BRASS      |     12 |           16
 Brand#13   | SMALL PLATED STEEL        |      2 |           16
 Brand#13   | SMALL POLISHED NICKEL     |     13 |           16
 Brand#13   | STANDARD POLISHED BRASS   |     21 |           16
 Brand#14   | ECONOMY ANODIZED STEEL    |      6 |           16
 Brand#14   | ECONOMY ANODIZED TIN      |     17 |           16
 Brand#14   | ECONOMY BRUSHED COPPER    |      2 |           16
 Brand#14   | ECONOMY BRUSHED COPPER    |     13 |           16
 Brand#14   | ECONOMY PLATED NICKEL     |     12 |           16
 Brand#14   | ECONOMY PLATED NICKEL     |     13 |           16
 Brand#14   | LARGE ANODIZED COPPER     |     14 |           16
 Brand#14   | LARGE ANODIZED TIN        |     21 |           16
 Brand#14   | LARGE BRUSHED STEEL       |     17 |           16
 Brand#14   | LARGE PLATED STEEL        |     17 |           16
 Brand#14   | MEDIUM ANODIZED TIN       |      6 |           16
 Brand#14   | MEDIUM ANODIZED TIN       |     12 |           16
 Brand#14   | MEDIUM BRUSHED STEEL      |     17 |           16
 Brand#14   | MEDIUM BURNISHED STEEL    |     12 |           16
 Brand#14   | PROMO ANODIZED NICKEL     |     12 |           16
 Brand#14   | PROMO BRUSHED BRASS       |      2 |           16
 Brand#14   | PROMO BRUSHED COPPER      |      2 |           16
 Brand#14   | PROMO PLATED NICKEL       |     49 |           16
 Brand#14   | PROMO PLATED TIN          |      2 |           16
 Brand#14   | PROMO POLISHED BRASS      |     12 |           16
 Brand#14   | SMALL BRUSHED BRASS       |     14 |           16
 Brand#14   | SMALL BRUSHED COPPER      |      6 |           16
 Brand#14   | SMALL BURNISHED STEEL     |      6 |           16
 Brand#14   | SMALL PLATED TIN          |      2 |           16
 Brand#14   | STANDARD BURNISHED STEEL  |     21 |           16
 Brand#14   | STANDARD POLISHED TIN     |     49 |           16
 Brand#15   | ECONOMY ANODIZED STEEL    |     13 |           16
 Brand#15   | ECONOMY BRUSHED NICKEL    |     17 |           16
 Brand#15   | ECONOMY BURNISHED BRASS   |      2 |           16
 Brand#15   | ECONOMY BURNISHED BRASS   |     21 |           16
 Brand#15   | ECONOMY BURNISHED TIN     |      6 |           16
 Brand#15   | LARGE ANODIZED BRASS      |     13 |           16
 Brand#15   | LARGE ANODIZED TIN        |      6 |           16
 Brand#15   | LARGE BRUSHED BRASS       |     14 |           16
 Brand#15   | LARGE BRUSHED STEEL       |     14 |           16
 Brand#15   | LARGE BRUSHED STEEL       |     17 |           16
 Brand#15   | LARGE PLATED COPPER       |     49 |           16
 Brand#15   | LARGE POLISHED BRASS      |     13 |           16
 Brand#15   | MEDIUM BRUSHED STEEL      |      6 |           16
 Brand#15   | MEDIUM PLATED BRASS       |     12 |           16
 Brand#15   | PROMO BURNISHED COPPER    |     21 |           16
 Brand#15   | PROMO BURNISHED TIN       |     13 |           16
 Brand#15   | PROMO BURNISHED TIN       |     49 |           16
 Brand#15   | PROMO POLISHED STEEL      |     49 |           16
 Brand#15   | SMALL ANODIZED COPPER     |     12 |           16
 Brand#15   | SMALL BURNISHED BRASS     |     12 |           16
 Brand#15   | SMALL BURNISHED NICKEL    |     21 |           16
 Brand#15   | SMALL PLATED BRASS        |     49 |           16
 Brand#15   | SMALL POLISHED NICKEL     |     17 |           16
 Brand#15   | STANDARD ANODIZED NICKEL  |     17 |           16
 Brand#15   | STANDARD BRUSHED COPPER   |     14 |           16
 Brand#15   | STANDARD BRUSHED STEEL    |     12 |           16
 Brand#15   | STANDARD BURNISHED STEEL  |     21 |           16
 Brand#21   | ECONOMY PLATED BRASS      |     13 |           16
 Brand#21   | ECONOMY POLISHED TIN      |      2 |           16
 Brand#21   | LARGE ANODIZED STEEL      |     14 |           16
 Brand#21   | LARGE BRUSHED BRASS       |     21 |           16
 Brand#21   | LARGE POLISHED STEEL      |     17 |           16
 Brand#21   | MEDIUM BURNISHED STEEL    |     21 |           16
 Brand#21   | MEDIUM BURNISHED TIN      |     17 |           16
 Brand#21   | PROMO BURNISHED BRASS     |      6 |           16
 Brand#21   | PROMO PLATED STEEL        |      2 |           16
 Brand#21   | PROMO POLISHED BRASS      |     14 |           16
 Brand#21   | PROMO POLISHED NICKEL     |      2 |           16
 Brand#21   | PROMO POLISHED TIN        |     49 |           16
 Brand#21   | SMALL BURNISHED NICKEL    |      2 |           16
 Brand#21   | SMALL BURNISHED TIN       |     13 |           16
 Brand#21   | SMALL POLISHED BRASS      |     13 |           16
 Brand#21   | STANDARD BURNISHED COPPER |     21 |           16
 Brand#21   | STANDARD BURNISHED TIN    |     17 |           16
 Brand#22   | ECONOMY ANODIZED COPPER   |     12 |           16
 Brand#22   | LARGE BURNISHED TIN       |     13 |           16
 Brand#22   | LARGE PLATED NICKEL       |      2 |           16
 Brand#22   | LARGE PLATED STEEL        |     21 |           16
 Brand#22   | MEDIUM ANODIZED COPPER    |      2 |           16
 Brand#22   | MEDIUM BRUSHED NICKEL     |     14 |           16
 Brand#22   | MEDIUM BURNISHED TIN      |     12 |           16
 Brand#22   | MEDIUM PLATED COPPER      |     12 |           16
 Brand#22   | MEDIUM POLISHED NICKEL    |     49 |           16
 Brand#22   | PROMO POLISHED STEEL      |     49 |           16
 Brand#22   | SMALL ANODIZED BRASS      |     12 |           16
 Brand#22   | SMALL ANODIZED TIN        |      2 |           16
 Brand#22   | SMALL BRUSHED COPPER      |     13 |           16
 Brand#22   | SMALL PLATED BRASS        |     21 |           16
 Brand#22   | SMALL PLATED TIN          |      2 |           16
 Brand#22   | STANDARD BRUSHED TIN      |      2 |           16
 Brand#23   | ECONOMY BRUSHED COPPER    |      6 |           16
 Brand#23   | ECONOMY BRUSHED COPPER    |     13 |           16
 Brand#23   | ECONOMY BRUSHED TIN       |     49 |           16
 Brand#23   | ECONOMY BURNISHED COPPER  |      6 |           16
 Brand#23   | ECONOMY PLATED COPPER     |     14 |           16
 Brand#23   | LARGE ANODIZED STEEL      |     49 |           16
 Brand#23   | LARGE PLATED COPPER       |     12 |           16
 Brand#23   | LARGE PLATED NICKEL       |     13 |           16
 Brand#23   | LARGE PLATED STEEL        |      6 |           16
 Brand#23   | LARGE PLATED STEEL        |     21 |           16
 Brand#23   | MEDIUM ANODIZED BRASS     |      2 |           16
 Brand#23   | MEDIUM BURNISHED TIN      |     13 |           16
 Brand#23   | MEDIUM POLISHED COPPER    |     17 |           16
 Brand#23   | PROMO BRUSHED COPPER      |     13 |           16
 Brand#23   | PROMO BURNISHED BRASS     |     17 |           16
 Brand#23   | PROMO BURNISHED COPPER    |     14 |           16
 Brand#23   | PROMO BURNISHED STEEL     |     21 |           16
 Brand#23   | PROMO POLISHED COPPER     |     13 |           16
 Brand#23   | SMALL ANODIZED COPPER     |     21 |           16
 Brand#23   | SMALL BURNISHED STEEL     |     12 |           16
 Brand#23   | STANDARD ANODIZED TIN     |      6 |           16
 Brand#23   | STANDARD BURNISHED NICKEL |     49 |           16
 Brand#23   | STANDARD PLATED BRASS     |      6 |           16
 Brand#23   | STANDARD PLATED NICKEL    |      6 |           16
 Brand#23   | STANDARD PLATED STEEL     |     17 |           16
 Brand#24   | ECONOMY BRUSHED STEEL     |     14 |           16
 Brand#24   | ECONOMY BURNISHED COPPER  |     21 |           16
 Brand#24   | LARGE ANODIZED COPPER     |     12 |           16
 Brand#24   | LARGE BURNISHED STEEL     |     12 |           16
 Brand#24   | LARGE BURNISHED STEEL     |     14 |           16
 Brand#24   | LARGE POLISHED BRASS      |      2 |           16
 Brand#24   | MEDIUM BRUSHED NICKEL     |     49 |           16
 Brand#24   | MEDIUM BURNISHED BRASS    |      2 |           16
 Brand#24   | MEDIUM PLATED STEEL       |     17 |           16
 Brand#24   | MEDIUM POLISHED COPPER    |     49 |           16
 Brand#24   | MEDIUM POLISHED NICKEL    |      2 |           16
 Brand#24   | PROMO ANODIZED NICKEL     |      6 |           16
 Brand#24   | PROMO BRUSHED NICKEL      |     17 |           16
 Brand#24   | PROMO BURNISHED COPPER    |     49 |           16
 Brand#24   | PROMO BURNISHED STEEL     |     49 |           16
 Brand#24   | PROMO POLISHED COPPER     |      6 |           16
 Brand#24   | SMALL BRUSHED BRASS       |     12 |           16
 Brand#24   | STANDARD ANODIZED BRASS   |      6 |           16
 Brand#24   | STANDARD BRUSHED TIN      |     12 |           16
 Brand#24   | STANDARD PLATED TIN       |     49 |           16
 Brand#25   | ECONOMY ANODIZED COPPER   |     14 |           16
 Brand#25   | ECONOMY PLATED COPPER     |     13 |           16
 Brand#25   | ECONOMY PLATED TIN        |     14 |           16
 Brand#25   | ECONOMY PLATED TIN        |     21 |           16
 Brand#25   | LARGE BURNISHED NICKEL    |      6 |           16
 Brand#25   | LARGE BURNISHED NICKEL    |     14 |           16
 Brand#25   | LARGE PLATED NICKEL       |      2 |           16
 Brand#25   | MEDIUM ANODIZED TIN       |     21 |           16
 Brand#25   | MEDIUM BURNISHED COPPER   |     49 |           16
 Brand#25   | PROMO ANODIZED BRASS      |     49 |           16
 Brand#25   | PROMO ANODIZED COPPER     |      2 |           16
 Brand#25   | PROMO BRUSHED TIN         |     12 |           16
 Brand#25   | PROMO BURNISHED COPPER    |     49 |           16
 Brand#25   | PROMO PLATED NICKEL       |      2 |           16
 Brand#25   | PROMO POLISHED COPPER     |     14 |           16
 Brand#25   | PROMO POLISHED NICKEL     |      2 |           16
 Brand#25   | SMALL ANODIZED STEEL      |     13 |           16
 Brand#25   | SMALL BRUSHED STEEL       |     13 |           16
 Brand#25   | SMALL BRUSHED TIN         |      6 |           16
 Brand#25   | SMALL PLATED NICKEL       |     12 |           16
 Brand#25   | SMALL POLISHED COPPER     |     12 |           16
 Brand#25   | STANDARD BRUSHED TIN      |     13 |           16
 Brand#25   | STANDARD BURNISHED COPPER |     12 |           16
 Brand#25   | STANDARD PLATED COPPER    |     49 |           16
 Brand#25   | STANDARD POLISHED COPPER  |     13 |           16
 Brand#25   | STANDARD POLISHED STEEL   |      6 |           16
 Brand#31   | ECONOMY ANODIZED TIN      |      2 |           16
 Brand#31   | ECONOMY BRUSHED COPPER    |     14 |           16
 Brand#31   | ECONOMY BURNISHED COPPER  |      6 |           16
 Brand#31   | ECONOMY PLATED BRASS      |     12 |           16
 Brand#31   | LARGE ANODIZED COPPER     |     21 |           16
 Brand#31   | LARGE ANODIZED NICKEL     |      2 |           16
 Brand#31   | LARGE PLATED BRASS        |      6 |           16
 Brand#31   | LARGE PLATED TIN          |     14 |           16
 Brand#31   | LARGE POLISHED COPPER     |     49 |           16
 Brand#31   | MEDIUM ANODIZED NICKEL    |     49 |           16
 Brand#31   | MEDIUM PLATED BRASS       |     21 |           16
 Brand#31   | MEDIUM POLISHED TIN       |      6 |           16
 Brand#31   | PROMO ANODIZED NICKEL     |     14 |           16
 Brand#31   | PROMO BURNISHED COPPER    |     21 |           16
 Brand#31   | PROMO BURNISHED NICKEL    |      6 |           16
 Brand#31   | PROMO PLATED STEEL        |      6 |           16
 Brand#31   | PROMO POLISHED TIN        |     12 |           16
 Brand#31   | SMALL ANODIZED STEEL      |     13 |           16
 Brand#31   | SMALL BRUSHED NICKEL      |     14 |           16
 Brand#31   | SMALL POLISHED TIN        |     14 |           16
 Brand#31   | STANDARD ANODIZED COPPER  |      6 |           16
 Brand#31   | STANDARD BRUSHED TIN      |     12 |           16
 Brand#31   | STANDARD PLATED BRASS     |     12 |           16
 Brand#31   | STANDARD POLISHED COPPER  |      6 |           16
 Brand#32   | ECONOMY BRUSHED BRASS     |     13 |           16
 Brand#32   | ECONOMY BRUSHED COPPER    |      6 |           16
 Brand#32   | ECONOMY BURNISHED BRASS   |     12 |           16
 Brand#32   | ECONOMY BURNISHED TIN     |     13 |           16
 Brand#32   | ECONOMY BURNISHED TIN     |     21 |           16
 Brand#32   | ECONOMY PLATED STEEL      |     14 |           16
 Brand#32   | ECONOMY POLISHED STEEL    |     13 |           16
 Brand#32   | LARGE BRUSHED TIN         |     17 |           16
 Brand#32   | LARGE BURNISHED BRASS     |     13 |           16
 Brand#32   | LARGE BURNISHED COPPER    |     13 |           16
 Brand#32   | MEDIUM ANODIZED NICKEL    |     13 |           16
 Brand#32   | MEDIUM ANODIZED TIN       |     21 |           16
 Brand#32   | MEDIUM BRUSHED BRASS      |     49 |           16
 Brand#32   | MEDIUM PLATED NICKEL      |      6 |           16
 Brand#32   | PROMO BURNISHED BRASS     |     12 |           16
 Brand#32   | PROMO BURNISHED COPPER    |     21 |           16
 Brand#32   | SMALL ANODIZED STEEL      |     13 |           16
 Brand#32   | SMALL BRUSHED COPPER      |     12 |           16
 Brand#32   | SMALL BURNISHED TIN       |     49 |           16
 Brand#32   | STANDARD ANODIZED COPPER  |     14 |           16
 Brand#32   | STANDARD ANODIZED TIN     |     12 |           16
 Brand#32   | STANDARD BRUSHED BRASS    |     21 |           16
 Brand#32   | STANDARD BRUSHED TIN      |     12 |           16
 Brand#32   | STANDARD BURNISHED COPPER |     49 |           16
 Brand#32   | STANDARD POLISHED BRASS   |     14 |           16
 Brand#32   | STANDARD POLISHED STEEL   |     14 |           16
 Brand#33   | ECONOMY ANODIZED STEEL    |     49 |           16
 Brand#33   | ECONOMY PLATED NICKEL     |     12 |           16
 Brand#33   | MEDIUM ANODIZED TIN       |     14 |           16
 Brand#33   | MEDIUM BRUSHED COPPER     |     49 |           16
 Brand#33   | MEDIUM BRUSHED TIN        |      2 |           16
 Brand#33   | MEDIUM BURNISHED COPPER   |     21 |           16
 Brand#33   | PROMO ANODIZED COPPER     |      2 |           16
 Brand#33   | PROMO BURNISHED COPPER    |      6 |           16
 Brand#33   | PROMO PLATED NICKEL       |      6 |           16
 Brand#33   | PROMO PLATED STEEL        |      6 |           16
 Brand#33   | PROMO PLATED STEEL        |     49 |           16
 Brand#33   | PROMO POLISHED NICKEL     |     21 |           16
 Brand#33   | SMALL BRUSHED COPPER      |      6 |           16
 Brand#33   | SMALL BRUSHED STEEL       |      6 |           16
 Brand#33   | SMALL POLISHED BRASS      |     14 |           16
 Brand#33   | STANDARD ANODIZED BRASS   |     21 |           16
 Brand#33   | STANDARD BRUSHED TIN      |     17 |           16
 Brand#33   | STANDARD BURNISHED COPPER |     21 |           16
 Brand#33   | STANDARD BURNISHED NICKEL |      2 |           16
 Brand#33   | STANDARD BURNISHED NICKEL |     17 |           16
 Brand#33   | STANDARD BURNISHED NICKEL |     49 |           16
 Brand#33   | STANDARD BURNISHED STEEL  |      2 |           16
 Brand#33   | STANDARD PLATED NICKEL    |     49 |           16
