 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
    9338.2 | Supplier#000002966        | BRAZIL                    |    107945 | Manufacturer#5            | 7YrfyeXbR385MUaYaS78fzpE8A6NPK           | 12-499-529-1414 | efully unusual requests wake slyly quickly express requests.
   9335.77 | Supplier#000009355        | PERU                      |     66848 | Manufacturer#2            | ATw43gXAnm3QIHdlX1S                      | 27-371-891-4773 | gside of the ironic gifts. regular pinto beans after the p
   9299.64 | Supplier#000007169        | CANADA                    |    112146 | Manufacturer#5            | tEc95D2moN9S84nd55O,dlnW                 | 13-805-131-6933 |  slyly against the pending platelets. final, final pa
   9287.24 | Supplier#000006764        | CANADA                    |     46763 | Manufacturer#5            | caeE02gh59 c7Q6m9LPAJV f0W,OCVWjn8I      | 13-458-611-1601 | nstructions. regular, regular frets do
   9261.33 | Supplier#000006030        | ARGENTINA                 |      6029 | Manufacturer#1            | FZwls8Wy7mYrj netgHZS4E                  | 11-166-588-6851 | ss, even requests sleep bl
   9256.66 | Supplier#000006447        | UNITED STATES             |     68928 | Manufacturer#1            | Qu3COUmk3l                               | 34-164-930-5009 | usly even foxes should are furiou
   9206.66 | Supplier#000000763        | PERU                      |     98253 | Manufacturer#3            | rpZRD,h5XXPIOe6bX1KqgwvBPoN              | 27-579-968-4858 | bold ideas. blithely express theodolites haggle blithe
   9164.59 | Supplier#000006168        | PERU                      |    128631 | Manufacturer#4            | AZX0AUGidt4W0BdJHiXUCnti8u               | 27-773-867-9817 | s are carefully silent foxes! pending, final instructions integrate s
   9145.31 | Supplier#000006095        | PERU                      |     71080 | Manufacturer#5            | dj8mhVnCtaxiQeC0yecDS                    | 27-134-165-2408 | refully pending accounts. ironic, regular pi
   9145.22 | Supplier#000009147        | CANADA                    |     29146 | Manufacturer#1            | rOAuryHxpZ9eOvx                          | 13-447-299-4722 | the blithely thin packages boost ironic deposits. slyly regular depos
   9145.22 | Supplier#000009147        | CANADA                    |    136633 | Manufacturer#5            | rOAuryHxpZ9eOvx                          | 13-447-299-4722 | the blithely thin packages boost ironic deposits. slyly regular depos
   9143.31 | Supplier#000003580        | UNITED STATES             |    101069 | Manufacturer#5            | K7YdexxTIN 2CmKvmfBqaqo9LAnXDKH          | 34-287-927-8968 | ss the fluffy accounts. fi
   9143.31 | Supplier#000003580        | UNITED STATES             |    113579 | Manufacturer#1            | K7YdexxTIN 2CmKvmfBqaqo9LAnXDKH          | 34-287-927-8968 | ss the fluffy accounts. fi
   9141.11 | Supplier#000004503        | ARGENTINA                 |     46990 | Manufacturer#3            | XEsadZv5GN9PbM                           | 11-689-225-1159 |  cajole fluffily above the even, careful d
   9100.24 | Supplier#000009881        | BRAZIL                    |     44872 | Manufacturer#1            | wBAZjc3w4ptPzXHi1xyjM2mddn               | 12-206-786-3708 | telets wake across the fluffily regular accounts. ca
   9083.87 | Supplier#000009956        | BRAZIL                    |     97446 | Manufacturer#3            | UjhY8PHXciKIqo6srufRLZP,p,t7N8           | 12-596-165-8425 | t theodolites are blithely carefully expr
   9066.05 | Supplier#000005335        | BRAZIL                    |    100314 | Manufacturer#5            |  BKN QXPN9OfeK                           | 12-429-977-4251 | equests. carefully unusual dependencies nag furiously. instruc
   9024.46 | Supplier#000001089        | PERU                      |    176054 | Manufacturer#3            | lbAfNAr1HpY2LGSPclm2dIlpRethjTL          | 27-487-835-2285 | ts. slyly ironic instructions above the carefully ironic excuses wake instructions
   8967.41 | Supplier#000009703        | PERU                      |    107192 | Manufacturer#5            | 461W023tsamk5gRq9x U                     | 27-841-617-4653 | nal deposits sleep blithely at the final theodolites. quickly final re
   8965.72 | Supplier#000000354        | CANADA                    |     77846 | Manufacturer#3            | w8fOo5W,aS                               | 13-796-527-4255 | blithely regular accounts around the special foxes kindle blithely across the even dependencies?
   8878.31 | Supplier#000003275        | CANADA                    |    150759 | Manufacturer#5            | 9xO4nyJ2QJcX6vGf                         | 13-124-425-5571 | latelets are carefully quickly regular foxes. final instruc
   8813.77 | Supplier#000005484        | CANADA                    |     87959 | Manufacturer#4            | saFdOR qW7AFY,3asPqiiAa11Mo22pCoN0BtPrKo | 13-696-138-7821 | ever bold theodolites are furiously regular platelets. care
   8796.14 | Supplier#000004371        | CANADA                    |    156825 | Manufacturer#4            | krCpx7vN0eJ06aMie Lh7VwTDz               | 13-840-203-5593 | dle furiously according to the packages. stealthy, pending courts ought to mold blithely alongs
    8719.5 | Supplier#000008120        | UNITED STATES             |     23115 | Manufacturer#3            | R2WCFL3A2qo VhrjfAG                      | 34-681-588-2364 | l patterns sleep bravely. blithely express packages wake furiously. even pinto bea
   8660.64 | Supplier#000005703        | BRAZIL                    |     68184 | Manufacturer#2            | 980CIMdpitmPFr9udm912YBCY2gzBHrl6O,3Az44 | 12-800-405-6418 | packages are carefully. slyl
   8625.52 | Supplier#000003428        | BRAZIL                    |     58417 | Manufacturer#4            | gV3bZITOKab4Jyhp58KP9h,O3IjFG9,          | 12-685-903-6415 | nal deposits. idle, even platelets are. blithely even pac
   8617.51 | Supplier#000008631        | PERU                      |     93612 | Manufacturer#2            | CYmjUKWaOad39X3qc HB                     | 27-858-492-6923 | requests sleep along the doggedly regular dependencies! packages haggle after the 
   8585.59 | Supplier#000001662        | BRAZIL                    |     71661 | Manufacturer#5            | ATRQSPG3ww5 AC2PrxUEn7eW0k FS,DXzbONe3dx | 12-164-286-1152 | s sleep. carefully ironic theodolites wake! ironic packages
   8581.15 | Supplier#000004227        | ARGENTINA                 |     44226 | Manufacturer#4            | 3BO8G2ObAldW4YnuYjoDytLx8CmnYoGb         | 11-223-593-6259 | pinto beans. special, final accounts snooze. slyly silent dependencies bo
   8489.12 | Supplier#000004719        | PERU                      |    109698 | Manufacturer#5            | yR99LcVeVOxcix1XIiMb7UpFYblyQaEe aMg     | 27-773-971-6110 | orges. slyly final packages mold across the even, final platel
   8489.12 | Supplier#000004719        | PERU                      |    197161 | Manufacturer#5            | yR99LcVeVOxcix1XIiMb7UpFYblyQaEe aMg     | 27-773-971-6110 | orges. slyly final packages mold across the even, final platel
   8437.09 | Supplier#000002337        | PERU                      |    112336 | Manufacturer#4            | IFXxxWgM2qN fndBu2WioI                   | 27-378-149-6984 |  packages boost never pinto beans. sly
   8402.33 | Supplier#000004701        | CANADA                    |    144700 | Manufacturer#2            | 6jX4u47URzIMHf                           | 13-678-533-3515 | uests. fluffily regular deposits promise 
   8381.66 | Supplier#000002544        | BRAZIL                    |    140029 | Manufacturer#5            | zL6nFXaRKp64M                            | 12-809-592-9231 | its wake slyly quickly even requests. carefully regular dugouts among the b
   8301.88 | Supplier#000004805        | UNITED STATES             |    107274 | Manufacturer#4            | 2gKQFPhqb64TUxuNtLApozpqap2lHqpzz8KEny   | 34-670-308-2884 | furiously according to the thinly bold dependencies. pending instructions eat carefully slyly 
   8277.83 | Supplier#000001965        | ARGENTINA                 |     21964 | Manufacturer#4            | Tgtqgw0UVj5ULgeIBpnkVp15                 | 11-456-304-1204 |  unusual epitaphs. blithely
   8227.98 | Supplier#000007685        | ARGENTINA                 |    195165 | Manufacturer#5            | 4OCzF9LfDLYGF0pcgW9Z                     | 11-251-650-9168 |  regular accounts breach. carefully express dependenci
   8219.58 | Supplier#000009554        | PERU                      |     19553 | Manufacturer#1            | e8De3zk2cRdvxQihN7IArownHTJFTgujVthQbd   | 27-190-154-5202 | st carefully permanently ironic foxes.
   8218.17 | Supplier#000003087        | CANADA                    |     18084 | Manufacturer#1            | ANwe8QsZ4rgj1HSqVz991eWQ                 | 13-939-850-7799 | pinto beans. fluffily regular deposits against th
   8207.35 | Supplier#000004633        | UNITED STATES             |    154632 | Manufacturer#1            | 2qnzswVOnbyY52qQtwGrNZSqZfU7z38m5JXR4OY  | 34-331-859-3951 | ep blithely according to the theodolites. final, regular accounts cajole blithely along th
   8206.98 | Supplier#000003656        | CANADA                    |     78641 | Manufacturer#3            | eEYmmO2gmD JdfG32XtDgJV,db56             | 13-215-118-6468 | ng to the furiously special pinto beans maint
   8163.89 | Supplier#000008742        | CANADA                    |     63729 | Manufacturer#5            | HmPlQEzKCPEcTUL14,kKq                    | 13-513-714-1723 | sts. ideas sleep furiously. bold theodolites alongside of the even, ironic ideas will use desp
   8153.24 | Supplier#000005411        | ARGENTINA                 |    162894 | Manufacturer#5            | f6zhj5JRnAr                              | 11-541-551-7273 | es. furiously pending dependenc
   8113.37 | Supplier#000009948        | ARGENTINA                 |    157432 | Manufacturer#3            | w1PNn1DPWwTuSTYO,cNw3                    | 11-573-223-6885 | ar theodolites sleep among the quickly unusu
   8101.82 | Supplier#000005492        | PERU                      |     82983 | Manufacturer#4            | k66hEgXwo8FrHNt7Ef                       | 27-305-245-2548 | ets sleep slyly ironic requests. carefully even p
   8091.25 | Supplier#000007764        | PERU                      |     25261 | Manufacturer#2            | ,ZHHIzEdpRlfnfnTXRv30qFnzhWg1rw          | 27-102-984-2540 | even packages. furiously regular theodolites will have to aff
   8085.36 | Supplier#000002982        | ARGENTINA                 |    155436 | Manufacturer#4            | PzCwmAnHPfqfwKmdwHWkAtWz8xFgkj9x9 In     | 11-661-855-9797 | boost furiously even deposits. blithely bold acc
   8084.68 | Supplier#000001307        | PERU                      |    133767 | Manufacturer#1            | MPZXf,9fmn0H5Bgtfyv2c74pCy               | 27-897-389-5613 | lly special requests. regul
   8074.96 | Supplier#000009144        | BRAZIL                    |    156628 | Manufacturer#4            | 3T7C1Rrd59Xd7bSaNqk7PGC53JCwTTs          | 12-876-893-4340 | . slyly final accounts cajole
   8039.56 | Supplier#000002762        | ARGENTINA                 |     12761 | Manufacturer#3            | hFPPebJ3MhSGg8Fm8Glvq6rM                 | 11-404-694-4902 | y ironic ideas cajole slyly according to the ironic, furious deposits. express requests haggle sl
   7963.57 | Supplier#000004454        | PERU                      |     59443 | Manufacturer#5            | ZooBrOO1fXne9 eBkoNQeN7h1yRgjSA5uJ       | 27-197-527-7677 | ke fluffily. furiously even requests wake spec
   7936.35 | Supplier#000008911        | BRAZIL                    |     56405 | Manufacturer#3            | CGtLI3B 2ifX,nx                          | 12-373-160-1950 | nusual frays. even theodolites along the carefully bold accounts sleep quickly carefully fin
   7936.35 | Supplier#000008911        | BRAZIL                    |    198910 | Manufacturer#5            | CGtLI3B 2ifX,nx                          | 12-373-160-1950 | nusual frays. even theodolites along the carefully bold accounts sleep quickly carefully fin
   7924.48 | Supplier#000002192        | UNITED STATES             |     92191 | Manufacturer#3            | KWu5GK8oZHC7tP                           | 34-619-665-9112 | ly bold deposits. slyly pending theod
      7898 | Supplier#000003652        | CANADA                    |    106121 | Manufacturer#3            | BJVxk,zw5nau6FCSum9xWVZ                  | 13-626-476-3206 | yly final deposits. furiously
   7871.05 | Supplier#000005932        | PERU                      |    148389 | Manufacturer#2            | uSiAbsTwYJ7u46sCRY,YnPdcE                | 27-523-667-3830 | e slyly express Tiresias boost furiously final ideas. accounts wake slyly final pint
   7838.57 | Supplier#000002654        | PERU                      |       153 | Manufacturer#1            | XVHK7aKCY,JCeefZXuxxYWp7wMeeHT j5dAZrjHe | 27-644-402-4455 | ending packages. furiously ironic instructions engage fluffily. carefully regular packages w
    7825.7 | Supplier#000009528        | BRAZIL                    |     37024 | Manufacturer#2            | n,bNmusFFl8LmLRWMSBkDwj2Hr,rhhBGFdV,Tr3r | 12-181-831-1307 | beans. carefully unusual instructions haggle carefully even courts. platelets nod. blithely e
   7742.24 | Supplier#000002019        | BRAZIL                    |    102018 | Manufacturer#4            | Cv1sLRqjcfNR                             | 12-972-912-8922 | t the silently ironic deposits. carefully ironic reques
   7718.48 | Supplier#000005905        | PERU                      |       904 | Manufacturer#1            | JoY1zCsAvnnKT                            | 27-566-885-3848 | final, busy instructions. carefully regular requests about the carefully express packages
   7657.83 | Supplier#000003484        | PERU                      |     83483 | Manufacturer#4            | 3GWJxKy TGoWs4l 3G84Q Ly1                | 27-174-208-9441 | sly regular instructions! carefully bold gifts alongside of the furiously silent deposits b
   7618.66 | Supplier#000007146        | CANADA                    |    182109 | Manufacturer#1            | J8I3Pyfc2Usr2tJMJLDbsq7                  | 13-146-899-2332 |  among the regular accounts. slyly regular accounts haggle slyly. pinto beans cajole a
   7616.16 | Supplier#000008190        | BRAZIL                    |    155674 | Manufacturer#5            | 6TOnkameTTcaq                            | 12-996-476-1238 | ress deposits wake across the regular account
   7550.43 | Supplier#000008452        | BRAZIL                    |    105941 | Manufacturer#2            | lTrl0TcxcYo0Xyydy5X4Lan                  | 12-686-389-2091 | ular courts. regular deposits sleep am
   7516.12 | Supplier#000000620        | UNITED STATES             |     95601 | Manufacturer#5            | 5pd GQ2NTM3c2uR,gCg9NspSE                | 34-347-881-4300 | posits promise. quickly express accounts according to the regularly pending accounts lose blithely 
   7513.16 | Supplier#000003169        | CANADA                    |    108148 | Manufacturer#1            | ODz6ABJGTs8Qnz                           | 13-103-649-1606 | cies haggle. furiously iron
   7507.87 | Supplier#000004466        | ARGENTINA                 |     71958 | Manufacturer#4            | hs6l3USBeqgcu2NPt                        | 11-575-885-9085 |  final frays above the blithely perm
   7482.56 | Supplier#000005397        | BRAZIL                    |     72889 | Manufacturer#3            | 0B5FAZjYyf5o3jAZeArJskWed                | 12-948-136-8144 | s foxes wake blithely blithely final i
   7462.08 | Supplier#000004787        | UNITED STATES             |     72279 | Manufacturer#1            | 8jhAajHOx17JMdlwo2Xk                     | 34-207-969-7500 | ogged, pending platelets among the pending requests integrate silen
   7445.31 | Supplier#000005026        | PERU                      |    197468 | Manufacturer#4            |  QCWzn7yqZuyTPEv3xGZc,                   | 27-492-930-4855 |  blithely unusual deposits wake after the fluffily pending theodolites.
   7425.83 | Supplier#000000754        | PERU                      |      3253 | Manufacturer#5            | GLSmwjGddmyMx2D BlOKJm1Ji                | 27-971-371-9417 | leep. pinto beans haggle according to the unusual, e
   7425.83 | Supplier#000000754        | PERU                      |     15751 | Manufacturer#2            | GLSmwjGddmyMx2D BlOKJm1Ji                | 27-971-371-9417 | leep. pinto beans haggle according to the unusual, e
   7351.11 | Supplier#000003382        | PERU                      |     95854 | Manufacturer#5            | p6rzU12Gx5FssGd4KAWbklBNdcgALy20W        | 27-904-659-7815 | p blithely unusual theodolites. quickly regu
(100 rows)

