       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
 Customer#000096092 |     96092 |    1251844 | 1998-03-29  |    481351.18 | 268.00
 Customer#000009622 |      9622 |    3702855 | 1995-10-31  |    481105.12 | 283.00
 Customer#000015619 |     15619 |    3767271 | 1996-08-07  |    480083.96 | 318.00
 Customer#000047357 |     47357 |    1869860 | 1998-04-28  |    480012.15 | 293.00
 Customer#000142015 |    142015 |    2841926 | 1993-01-30  |    479758.63 | 295.00
 Customer#000077260 |     77260 |    1436544 | 1992-09-12  |    479499.43 | 307.00
 Customer#000019063 |     19063 |     637575 | 1997-03-23  |    478750.62 | 280.00
 Customer#000006053 |      6053 |      41445 | 1996-02-08  |    478080.61 | 256.00
 Customer#000109379 |    109379 |    5746311 | 1996-10-10  |    478064.11 | 302.00
 Customer#000099814 |     99814 |    2184164 | 1997-09-25  |    477728.86 | 287.00
 Customer#000132893 |    132893 |    4928545 | 1994-04-10  |    477117.70 | 282.00
 Customer#000107128 |    107128 |    2973444 | 1995-10-04  |    476888.83 | 274.00
 Customer#000016586 |     16586 |      55937 | 1994-01-27  |    476763.16 | 268.00
 Customer#000014270 |     14270 |    3547139 | 1998-05-21  |    476015.01 | 276.00
 Customer#000096424 |     96424 |    3234337 | 1992-12-26  |    475530.92 | 266.00
 Customer#000085429 |     85429 |    1465408 | 1994-08-14  |    475340.55 | 271.00
 Customer#000128458 |    128458 |    1975399 | 1994-01-13  |    475302.84 | 294.00
 Customer#000063994 |     63994 |     809158 | 1994-12-17  |    474185.37 | 294.00
 Customer#000092464 |     92464 |    5997029 | 1996-10-15  |    473624.19 | 284.00
 Customer#000059359 |     59359 |    3583616 | 1992-05-27  |    473031.66 | 274.00
 Customer#000073999 |     73999 |    3706788 | 1996-04-19  |    472981.82 | 284.00
 Customer#000025457 |     25457 |     978692 | 1997-09-28  |    472864.04 | 289.00
 Customer#000095903 |     95903 |    2154982 | 1996-04-03  |    472752.65 | 274.00
 Customer#000100978 |    100978 |    3312576 | 1998-07-09  |    472728.80 | 285.00
 Customer#000052873 |     52873 |    2894533 | 1997-06-04  |    472623.98 | 277.00
 Customer#000009664 |      9664 |    3727556 | 1996-03-20  |    472549.43 | 289.00
 Customer#000104128 |    104128 |    3176966 | 1992-03-27  |    472529.02 | 270.00
 Customer#000147289 |    147289 |     101700 | 1994-05-18  |    472440.55 | 281.00
 Customer#000140257 |    140257 |    4363911 | 1995-11-27  |    472284.05 | 258.00
 Customer#000126613 |    126613 |    1130240 | 1993-02-24  |    472194.82 | 262.00
 Customer#000063985 |     63985 |    1805824 | 1997-04-23  |    471316.24 | 267.00
 Customer#000054602 |     54602 |    5832321 | 1997-02-09  |    471220.08 | 307.00
 Customer#000099611 |     99611 |    3249508 | 1994-07-13  |    471103.34 | 284.00
 Customer#000049288 |     49288 |     645412 | 1996-04-08  |    470897.34 | 261.00
 Customer#000110149 |    110149 |    4937121 | 1998-02-12  |    470709.70 | 279.00
 Customer#000052840 |     52840 |    5430977 | 1994-04-12  |    470565.67 | 263.00
 Customer#000023815 |     23815 |    5619713 | 1993-11-08  |    470551.35 | 243.00
 Customer#000076567 |     76567 |    2235011 | 1993-12-09  |    470235.32 | 281.00
 Customer#000008011 |      8011 |     330275 | 1997-06-06  |    470062.63 | 270.00
(100 rows)

